bando,piattaforma,commento_p,target
enti ecclesiastici anno 2019,bandi online,piattaforma chiara personale ufficio regionale molto gentile disponibile competente,1
bando accumulo anno 2017,bandi online,nessuna pubblicita comnicazione venuto conoscenza solo passaparola,1
smaltimento amianto anno 2019,bandi online,ottimo incentivo migliorare ambiente,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,non non_pubblicizzato non_abbastanza non_sapevo non_bando non non_sapevo non_quando non_uscito non_quindi non_rischiato non_perdermelo,0
garanziagiovanifaseii,bandi online,procedura estremamente lenta cavillosa,0
nidigratis2019,bandi online,esiti domande dovrebbero arrivare molto prima data odierna decina pratiche ancora valutazione,1
acquisto_dotazioni_per_vigili_del_fuoco_volontari_onlus_aps,pec-peo,innanzitutto bando beneficio permetti vvfv migliorarsi confronti cittadino territorio stesso poi personale impiegato regione stato disponibile ogni qualvolta richiedevano spiegazioni particolar modo sig ri chiapparoli cosenza,1
turismoeattrattivita,siage,trovato sufficiente assistenza fornita operatori numero verde non non_son non_riusciti non_darmi non_risposte non_quesiti non_fatti non non_gia non_riportato non_manuale non_d non_istruzioni non_supporto non_tecnico non non_stato non_altezza non_richieste non_fatte non_altri non_numeri non_assistenza non_referente non_pratica non_irraggiungibili non non_risponde non_mai non_nessuno,0
sostegno manifestazioni sportive,siage,chiaro lineare,1
promozione culturale legge 9 2016,siage,gestione bando buona assistenza molto buona radice bandi budget cosi limitati non non_sufficienti non_supportare non_realtà non_costi non_importanti non_né non_tanto non_meno non_consentono non_crescere non_ce non_tanto non_bisogno non_ora non_provincie non_han non_perso non_possibilità non_economiche,0
promozione culturale legge 9 2017,siage,non non_previste non_alcune non_voci non_costo non_devo non_inserire non_realtive non_gestione non_concerti non_es non_contributi non_ex non_enpals non_ritenuta non_acconto non_irpef non_devono non_essere non_versati non_modello non_f24 non_conto non_artisti non_iva non_incasso,1
nidigratis2019,bandi online,abbastanza agevole,1
turismoeattrattivita,siage,complesso soddisfatti graziepasticceria santi,1
faber iii ed,bandi online,bando penalizzato tempi troppo ravvicinati fra comunicazione ammissione scadenza termine progetto coincidente invio rendicontazione,1
piano nazionale sicurezza stradale,siage,ben formulato,1
rinnova autoveicoli,bandi online,semplicità chiarezza stato strutturato inoltre mail informative sempre state precise tempistiche corrette,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,importo erogato adattamenti auto troppo esigui rispetto costo sopportato cittadino disabilità,0
adeguamento sale da spettacolo ed 2019,bandi online,gestione abbastanza semplice pur tenendo conto complessità implicita quantità documentazione richiesta,1
ebm imprese,siage,secondo me opportuno inserire numero telefonico chiedere assistenza sottoporre quesiti relativi ammissibilità adempimenti bando modo confronto presta assistenza diretto rispetto solo indirizzo mail grazie,1
e di nuovo sport,bandi online,facile intuitivo,1
innodrivermisuraa,bandi online,aiuto prezioso progetti r s consentire aziende attività aiutano posizionarsi settore bando semplice efficace,1
smaltimento amianto anno 2019,bandi online,tanti documenti preparare,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,sito uscita bando non non_completa non_dati non_necessari non_riguarda non_spedizione non_domanda non_solo non_secondo non_momento non_stati non_inseriti non_ats non_competenza non_tipologia non_documentazione non_richiesta non_allegare non_bando non non_stato non_chiaro non_spiegazione non_perciò non_dovuto non_chiedere non_assistenza non_sportello non_fragilità non_ospedale non_bollate non_purtroppo non non_preparati non_invece non_risposte non_call non_center non_ats non_dato non_indicazione non_corrette,0
garanziagiovanifaseii,bandi online,non non_trovato non_referente non_bando non_parlato non_numero non_verde non_indicato non_interno non_procedura non_bando non_solo non_addetto non_questioni non_tecniche non_richiesta non_ottima non_veloce non_risposta non_preferivo non_interno non_indicato non_referente non_bando non_ancora non non_so non_trovare non_contatto,1
e di nuovo sport,bandi online,ottimo servizio assistenza guidato senza non non_mai non_riuscita non_completare non_procedura non_inserimento non_dati non_invio non_domanda non_incongruenze non_dati non_tempi non_documentazione non_relativa non_rendicontazione non_inserire non_sistema non non_aiuta non_bisogna non_ricorrere non_assistenza,1
alvia,bandi online,perchè nonostante qualche piccolo intoppo derivante cambio piattaformo aiuto assistenaza risolto,1
smaltimento amianto anno 2019,bandi online,gestione bando caso madre non non_possibile non_pertanto non_stato non_necessario non_procedere non_incaricare non_tecnico non_inoltre non_alcuni non_casi non_documenti non non_allegavano non_complesso non_sommato non_gestione non non_stata non_particolarmente non_difficoltosa,1
rinnova autoveicoli,bandi online,bando ora senza particolari intoppi abbastanza chiaro,1
contributi asd ssd linea 1 e linea 2 2017,siage,offre aiuto concreto piccole realtà asd,1
bando accumulo anno 2017,bandi online,andrebbe introdotta possibilità inviare chiarimenti oulteriori documenti supporto non non_già non_codificati non_sistema,1
rinnova autoveicoli,bandi online,non non_sempre non_davano non_indicazioni non_chiare non_difficile non_trovare non_persona non_giusta,1
faber i ed,bandi online,gestione ben fatta tempi accettabili informative complete,1
bando accumulo anno 2017,siage,mancata chiarezza manuale informazioni richieste diverse rispetto interfaccia effettiva nessuna parte indicato fatture acquisto installazione dovevano essere separate fase rendicontazione non non_stato non_pensato non_fornitore non_sistema non_può non_essere non_installatore non_quindi non_fare non_sola non_fattura non_vendita non_installazione,1
promozione educativa e culturale 2018 2020,bandi online,perchè fine futto abbastanza semplificato,1
faber ii ed,bandi online,sistema bandi on line regione lombardia agevole semplice usare utile numero telefonico dedicato operatori preparati assistenza fasi tecniche compilazione documentazione risolvere eventuali dubbi manuali farli semplici corti troppo descrittivi confonde,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,perchè semplice compilare,1
sostegno manifestazioni sportive,bandi online,dà opportunità piccole manifestazioni fare qualcosa grande,1
enti ecclesiastici anno 2019,bandi online,bene,1
bando accumulo anno 2017,bandi online,troppi documenti ripetuti volte,0
storevolution,bandi online,serve numero telefono chiarimenti,1
bando accumulo anno 2017,bandi online,non non_cosi non_immediato non_capire non_accedere non_procedura non_inserimento non_documentazione non_difficoltà non_inserire non_alcune non_voci non_pure non_espressamente non_richieste non_documentazione non_produrre non_sistema non non_offre non_voce non_selezionare non_obbliga non_mettere non_titolo non non_corrisponde non_documento non_inserire non_riferisco non_particolare non_ricevuta non_trasmissione non_dati non_gse non_dovuto non_inserire non_documentazione non_relativa non_pagamenti,0
smaltimento amianto anno 2019,bandi online,poca chiarezza compilare campi richiesti tempestive risposte mail chiarimenti incongruenza indicato essenziale prima fase rendicontazione effetivamente richiesto,0
asd 2019,bandi online,utilizzo facile,1
carceri 2019 fse,bandi online,fase parteciapzione dando certo tipo indicazioni rendicotnazione fase caricamento dati chiedevano dati non non_previsti non_dovuto non_rielavorare non_inoltre non_portale non_veramente non_molto non_molto non_lento non non_salva non_automatico non_rischia non_perdere non_dati,0
rinnova autoveicoli,bandi online,abbastanza facile unico dubbio riguarda sezione caricare documenti facoltativi non non_capisce non_perchè non_facoltativi non_quali non_caricare non_consegna non_influisca non_accettazione,1
smaltimento amianto anno 2019,bandi online,fase inserimento dati richieste possono solo essere soddisfatte tecnico abilitato costa titolo abilitativo cila deve rilasciare tecnico costa comune domanda cila chiesto 90 soli diritti segreteria saputo non non_mai non_fatto non_adesso non_aspetto non_rimborso non_bando non_forse non_coprirà non_30 non_spese non_sostenuto non_volete non_fare non_qualcosa non_salvaguardare non_ambiente non_aiutare non_cittadini non_prima non_dovete non_sburocratizzare non_pratiche non_rederle non_snelle non_comprensibili non_privati non_soprattutto non_gratuite non_caso non_rivolga non_enti non_pubblici non_quali non_comuni non_ats non_altro,0
innodrivermisuraa,bandi online,rendicontazione fatta 20 dicembre 2018 passati oltre 90 giorni bando avere riposta ritardo creando grossi problemi banca appoggio,0
turismoeattrattivita,siage,semplice consultazione utlizzo,1
garanziagiovanifaseii,bandi online,informazioni parziali incongruenti poco chiare,0
faber 2020,bandi online,alcuni aspetti migliorabili particolare migliore cura alcune spiegazioni aggiungere cumulabilità altre agevolazioni tipo sabatini poco tempo rendicontazione ultimi ammessi,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,gestione molto buona solo importo rimborso acquisto protesi acustiche potevano avere importi leggermente superiori visto tratta acquisto necessario maggior possibilità inclusione vita quotidiana grazie,1
alvia,bandi online,non non_trovato non_difficoltà non_particolari,1
contributi asd ssd linea 1 e linea 2 2017,siage,riuscito compilarlo senza grossi problemi aiuto call center momenti difficoltà,1
innodrivermisuraa,bandi online,momento pongono quesiti risposte cortesi volte poco tempestive maggior parte casi parziali utente può avere necessità superare ostacolo richiede risposta coniughi informazioni uso strumento siage informazioni documenti caricare nuclei competenza regione lombardia perchè risultino conformi bando,0
bando accumulo anno 2017,siage,sempre ricevuto mail conferma fatto inviato sito avvisi passaggi scadenza termini,1
dotazioni tecnico strumentali,bandi online,parte fase rendicontazione non non_mostra non_sufficienti non_spiegazioni non_didascalie non_relative non_quali non_allegati non_bisogna non_caricare non_istruzioni non_contraddittorie non_es non_quadro non_economico non_utilizzare non_modello non_già non_presente non_excel non_foglio non_excel non_indicato non_allegare non_pdf non_ottimo non_sistema non_gestione non_istanze non_relative non_risposte,1
alvia,bandi online,gestione semplice funzionalità migliorate rispetto passato,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,ricevuto informazioni corrette tempi rapidi,1
e di nuovo sport,bandi online,comprensione errore,1
faber i ed,bandi online,abbastanza chiaro,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,stato vero interessamento confronti pratica,1
rinnova autoveicoli,bandi online,bene comunicazioni ok tempi fase altra po lunghi,0
bando accumulo anno 2017,siage,stato premiato fatto cose giuste,1
smaltimento amianto anno 2019,bandi online,cittadino molto complesso,0
e di nuovo sport,bandi online,molto lunga rendicontazione dovendo inserire dati es cf p iva ciascun fornitore comunque allega scansione fattura,1
autoimprenditorialità -articolo43,bandi online,rendicontazione stata molto snella anno scorso assegno 4 anzichè 5 perchè manuale non non_dettagliato non_rispetto non_casi non_particolari non_possono non_accadere,1
rivivi lombardia anno 2020,bandi online,molte chiare modalità,1
sicurezza_urbana_lotto_b_2017,siage,devono essere chiari quali documenti richiesti fasi rendicontazione,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,ottima opportunità persone bisogno,1
asd 2018,bandi online,volte non non_subito non_comprensibile non_piattaforma,0
storevolution,bandi online,portale ben strutturato mancano manuali tutorial supporto personalmente difficoltà rendicontazione capire effettuare salvataggio parziale dati vero proprio inserimento spese tipologia non non_chiaro non_dovuto non_procedere non_tentativi non_prima non_capire non_fare,0
bando accumulo anno 2017,bandi online,esperienza prima assoluto stata resa difficile poca informazione diretta possibilità avere indicazioni durante accesso bando rendicontazione operatore dedicato magari dubbio mancanza consulenza fondamentale decisiva,1
piano nazionale sicurezza stradale,siage,sufficientemente intuitivo,0
ebm imprese,siage,bando ben gestito buona misura criticità fase rendicontazione troppo onerosa complessa rispetto importo contributo investimento sostenuto progetto,0
telecamere mobili com singolo 2018,bandi online,bando facilmente comprensibile intera procedura spiegata modo chiara sito siage intuitivo,1
sostegno manifestazioni sportive,siage,ancora troppo elaborata rendicontazione,0
e di nuovo sport,bandi online,sempre poco complicato approccio profilazione gestione on line volte preferibile compilarlo piattaforma fare controllo poi fare invio comunque quando rendicontazione stato blocco uscito procedura dati inseriti stati memorizzati quindi mantenuto dati procedura stata ripresa punto arrivati positivo rendicontazione apprezzabile miglioramento contempli possibilita inserire piu dati stesso fornitore contemporaneamente comunque sostanzialmente va bene,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,preciso stato aiutato personale ufficio fragilità presso ospedale magenta,1
criteri di individuazione soggetti dello spettacolo,bandi online,potrebbe essere migliorato quando bisogna apportare modifiche scheda anagrafica esempio,0
bando accumulo anno 2017,bandi online,meglio poter caricare file senza forza doverne creare unico non non_possibilità non_farlo non_richiesta non_firma non_digitale non_meglio non_spiegare non_cosa non_fare non_magari non_tramite non_link non_ben non_identificabile,1
rinnova autoveicoli,bandi online,chiara trasparente unico appunto 6 mesi attesa cotributo regionale dopo aver proceduto rendicontazione,1
bando accumulo anno 2017,siage,molto complicata praticamente impossibile normali attrezzature casalinghe,0
innodrivermisuraa,bandi online,ottimo strumento consentire aziende inoovare sfruttando srevizi eccellenza università,1
nidigratis2019,bandi online,procedure inserimento intuitive agevoli po meno consultazione pratiche gestione,1
bando accumulo anno 2017,siage,bando dovrebbe essere dedicato privati cittadini molto difficile riuscire compilare senza aiuti,0
innodriver2019b,bandi online,facilità submission ottima assistenza,1
turismoeattrattivita,siage,molti dubbi sorti durante compilazione rendicontazione trovato soluzioni manuale non non_stato non_chiaro non_predisporre non_alcuni non_documenti non_allegare non_es non_scheda non_rilevazione non_caratteristiche non_ambientali non_meglio non_prevedere non_semplici non_spunte non_opzioni non_alternative non_dovrebbe non_essere non_inoltre non_possibile non_allegare non_documenti non_comprovino non_avvenuto non_pagamento non_giustificativi non_senza non_dover non_stampare non_copie non_cartacee non_fatture non_ricevute non_pagamento non_estratto non_conto non_movimenti non_spesa,1
sostegno manifestazioni sportive,siage,fase rendicontazione presentata particolarmente complessa seguenti motivi indisponibilità diverse occasioni piattaforma informatica complessità procedura registrazione ogni singolo documento mancanza manuale descrivere fase rendicontazione non non_individuato non_piattaforma,1
nidigratis2019,bandi online,nessuna complicazione,1
musei 2017,siage,rendicontazione troppo macchinosa,0
autoimprenditorialitã -articolo43,bandi online,difficoltà utilizzo portale rendicontazione servizi,0
garanziagiovanifaseii,bandi online,mancanza indicazioni specifiche apertura bando fino possibilità inviare domanda gennaio 2019 aspettato fino fine anno non non_indicazioni non_specifiche non_merito,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,facile compilazione modulistica proposta,1
promozione culturale legge 9 2016,siage,tempo necessario rendicontazione eccesdivo semplice autocertificare entrate uscite inviare pezze giustificative pdf consentire controllo campionatura,0
legge 50 anno 2019,bandi online,particolare rendicontazione spese schema rispetto dati inserire specifica importi spesa descrizione attività importi indicare fornitori indicare numero fatture bando non non_indicato non_allegare non_fatture non_tenerle non_disosizione non_successivi non_controlli non_documenti non_quali non_serve non_firma non_convalida non_solo non_firma non_digitale non_assistenza non_ufficio non_preposto non_comunque non_sempre non_stata non_puntuale,0
asd 2018,bandi online,occorre richieste documenti dati esplicitati fin inizio non non_scoprirli non_mano non_mano non_inseriscono non_errori non_programma non_impediscono non_inserimento non_molte non_parti non_rendicontazione,0
alvia,bandi online,aiuto aziende investono macchinari,0
ebm imprese,siage,bando ottimo portale siage imbarazzante lento macchinoso pieno errori,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,perche rimborso é stato minore 70 scritto bando,0
rinnova autoveicoli,bandi online,dovuto aspettare due settimane affinché problema informatico venisse risolto rischiando non non_poter non_partecipare non_bando non_esaurimento non_risorse non_avvenuto non_nonostante non_requisiti non_poter non_partecipare non_fortunatamente non_andato non_bene,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,troppi documenti,0
bando accumulo anno 2017,siage,non non_problemi non_ricevuto non_adeguata non_assistenza,1
sostegno manifestazioni sportive,siage,associazione sportiva non non_nessuna non_specifica non_competenza non_materia non_bandi non_tempo non_fatti non_po non_esperienza non_sempre non_difficoltoso non_capire non_dinamiche non_seguono non_bandi non_parte non_complicata non_capire non_accedere non_requisiti non_dobbiamo non_avere non_richieste non non_sempre non_chiare non_forse non_addetto non_lavori non non_tutorial non_spieghi non_primi non_passi non_potrebbe non_essere non_aiuto,1
bando accumulo anno 2017,siage,secondo informazioni interventi intermediario oggi passati 7 mesi non non_ancora non_comunicazione non_data non_quando non_verrà non_bonificato non_50 non_speso non_pur non_risposto non_sempre non_tempo non_reale,0
biblioteche 2017,siage,occorre migliorare siage troppi passaggi vincolati difficoltà scaricare anticipo modeli ecc,0
faber i ed,bandi online,tempistiche pubblicazione elenchi domande ammesse non non_state non_ottimali,0
rinnova autoveicoli,bandi online,fatto fatica trovare comando clika rendicontazione non non_stato non_immediato non_salutialfredo,1
bando accumulo anno 2017,bandi online,meccanismo non non_facile non_intuizione non_soprattutto non_prima non_volta non_persona non_inoltre non_grossi non_problemi non_tessera non_sanitaria non_software non_csr non_manager non_seri non_problemi non_installare non_versioni non_aggiornate non non_certificato non_sicurezza non_riconosciuto non_aggiornato non_oramai non_windows non_10 non_comunque non_realtà non_necessario non_certe non_realtà non_pubbliche non non_problemi non_sistemi non_operativi non_molto non_diffusi non_problema non_maggiore non non_riuscire non_trovare non_supporto non_problemi non_siti non_istituzionali,0
proposte di promozione della musica 2017,siage,rendicontazione mancate alcune chiare informazioni riguardo invio file,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,fine risultato stesso complicato sopratutto definire ausilio rientrava meno bando,0
sicurezza_urbana_lotto_b_2017,siage,funzionale complesso,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,domanda bando facile molto dettagliata chiesto informazioni ats bergamo referente molto gentile cordiale,1
criteri di individuazione soggetti dello spettacolo,bandi online,difficoltà recuperare bandi fare pratiche lavorare vengono archiviate bozze scadute rimangono visualizzate creando confusione portale,0
promozione culturale legge 9 2018,bandi online,opportuno errori relativi compilazione venissero evidenziati fase salvataggio singole voci piuttosto termine quando viene cliccata richiesta saldo,0
turismoeattrattivita,siage,perchè deve fornire risultato fatto posto pensare lavoro devi passare giornate fornire ciò viene richiesto sempre riesca capire cosa serve esattamente troppa burocrazia burocratese rendono impossibile partecipazione persone non non_mettano non_d non_impegno non_cacciarsi non_impresa non_vero non_proprio non_secondo non_lavoro non_nonostante non_aiuti,0
interventi e opere di difesa del suolo e regimazione idraulica,bandi online,volta capito browser utilizzare dopo suggerimento vs call center non non_particolari non_criticità non_utilizzo,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,semplicità partecipazione,1
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,secondo punto vista bando domanda chiaro comunque riscontrato abbastanza confusione asst praticamente non non_trovati non_preparati non_soprattutto non_riguardo non_indirizzarmi non_verso non_medico non_specialista non_progetto non_individuale non_telefonato non_volte non_fine non_risolto non_telefonando non_operatori non_ats non_indicati non_presente non_bando,0
contributi asd ssd linea 1 e linea 2 2017,siage,molto ben articolato comprensibile sicuro aiuto vuole fare investire avere minimo contributo sempre utile associazioni,1
rinnova autoveicoli,bandi online,molto semplice,1
faber ii ed,bandi online,bando faber arco temporale conferma assegnazione contributo scadenza termine ultimo entro poter effettuare spese ammissibili risultato essere troppo ridotto,0
faber 2020,bandi online,tempi istruttoria molto lunghi,0
smaltimento amianto anno 2019,bandi online,molto macchinoso accesso compilazione non non_logica non_compilazione non_cerchiamo non_semplificare non_cose,0
promozione culturale legge 9 2016,siage,riscontra poca chiarezza modulistica compilare sede rendicontazione,0
dotazioni tecnico strumentali,bandi online,riscontrano alcune lacune aggiornamenti previsti piattaforma dopo aver presentato bando inoltre molto positivo poter ricevere fac simile mailing list partecipazione bandi,1
bando pro loco,bandi online,idea creare bando supporto attività pro loco lombarde sicuramente vincente visto potenziale promozione valorizzazione territorio insito lavoro svolgono associazioni pur vero pro loco lombarde diversificano notevolmente attività svolgono semplice organizzazione piccoli eventi locali vera propria attività promozione valorizzazione territorio el turismo credo diversificazione impegno andrebbe riconosciuta creazione bando,0
bando accumulo anno 2017,bandi online,testo bando non non_addetti non_complicato non_aiutato non_fornitore non_materiali non_oggetto non_bando non_fornendomi non_documenti non_richiesti non_assistenza non_trovato non_molta non_difficoltà non_firma non_elettronica non_prima non_volta,0
contributi acquisto attrezzature vvff volontari,pec-peo,permesso acquisto attrezzature migliorano qualità servizio ministero tramite comandi non non_nulla,1
criteri di individuazione soggetti dello spettacolo,bandi online,chiari passaggi molto puntuale assistenza,1
biblioteche 2017,siage,complesso gestione bando presentazione domande rendicontazione molto buona,1
rinnova autoveicoli,bandi online,po macchinoso semplificherei,1
innodriver misura a,bandi online,semplice facile gestione buona risposta piattaforma senza cadute rallentamenti,1
rinnova autoveicoli,bandi online,secondo me migliorare servizio assistenza telefonica tempi attesa lunghissimi risposte spesso non non_qualità non_limita non_rileggere non_passaggi non_regolamento non_bando non_argomenti non_già non_trattati non_faq,1
rinnova autoveicoli,bandi online,bando online strutturato bene migliorabile supporto telefonico effeciente perfetto faq non non_chiariscolo non_dubbi non_utente non_durante non_tutte non_fasi non_inserimento non_saluti,1
rinnova autoveicoli,bandi online,chiaro esaustivo,1
innodrivermisuraa,bandi online,non non_sempre non_referente non_risposte non_corrette,0
bando accumulo anno 2017,bandi online,non non_sempre non_comprensione non_immediata,0
bando accumulo anno 2017,bandi online,molto soddisfatto,1
sostegno manifestazioni sportive,bandi online,informazioni richieste chiare iter ottenimento contributo veloce inoltre personale addetto valutazione sembra informato ben preparato,1
adeguamento sale da spettacolo ed 2019,bandi online,utile finanziamento ottimo gestione,1
rlo12019008323_arche misura b,bandi online,20 giorni lavorazione rendicontazione piattaforma pessima 15 ticket aperti esperienza terribile,0
archemisuraa,bandi online,posto semplificare procedure necessario ogni volta allegare documentazione classificazione società sempre dettagliata nonostante dati società iscritte camera commercio ormai consultabili inseriti ogni archivio consultabile pubblica amministrazione volte presentazioni rendicontazioni vengono fatte richieste ridondanti,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,bando utile buona assistenza,1
faber i ed,bandi online,informazioni contrastanti call center mail ricevono mail id pratica senza nominativo ditta associata,1
impianti sportivi 2016,siage,piattaforma fase caricamento allegati lenta bisogna spesso ricaricare volte allegati,0
rinnova autoveicoli,bandi online,interessante,1
bando accumulo anno 2017,siage,abbastanza pratico oltre funzionale,1
rlr12019008762_innodriver_misura_a_2019,bandi online,po farraginoso,0
ausili_e_strumenti_tecnologicamente_avanzati_2017,pec-peo,abbastanza chiaro preciso,1
contributi asd ssd linea 1 e linea 2 2017,siage,perchè possibilità accedere contributi causa utile giovani sport,1
rinnova autoveicoli,bandi online,fino ora funzionato perfettamente spero continui cosi sino effettiva erogazione finanziamento,1
